Entity Type,License Number,Sidewalk Cafe Type,Lic Area Sq Ft,Entity Name,Camis Trade Name,Address Bldg,Address Street Name,Address Location,Address City,Address State,Address Zip Code,Camis Phone Number
SIDEWALK CAFE,737570,Enclosed,201,352 EAST 86TH STREET INC.,GRACIE'S CORNER,352,EAST   86 STREET,,NEW YORK,NY,10028,2127378505
SIDEWALK CAFE,738544,Enclosed,298,320 COLUMBUS AVE INC,MUGHLAI INDIAN CUISINE,320,COLUMBUS AVENUE,,NEW YORK,NY,10023,2127247073
SIDEWALK CAFE,760685,Enclosed,240,603 SECOND AVE CORP,BENJAMIN,603,2 AVENUE,,NEW YORK,NY,10016,2128890750
SIDEWALK CAFE,761576,Enclosed,422,FORTUNATO BROS.CAFE & BAKERY CORP,,289,MANHATTAN AVENUE,E/S/C #357,BROOKLYN,NY,11211,7183872281
SIDEWALK CAFE,762511,Unenclosed,162,LU-ANN BAKERY SHOP INC,BRUNO BAKERY        S/C #362,506,LA GUARDIA PLACE,,NEW YORK,NY,10012,2129825894
SIDEWALK CAFE,768933,Unenclosed,148,CAFFE DANTE INC,,81,MACDOUGAL STREET,,NEW YORK,NY,10012,2129825275
SIDEWALK CAFE,769760,Enclosed,422,FIRST 69TH ST REALTY CORP,WESTSIDE RESTAURANT E/S/C #417,2020,BROADWAY,,NEW YORK,NY,10023,2127244000
SIDEWALK CAFE,769952,Unenclosed,728,"567 HUDSON STREET, INC.",WHITE HORSE TAVERN,567,HUDSON STREET,,NEW YORK,NY,10014,2129893956
SIDEWALK CAFE,782187,Enclosed,227,MEXICO LINDO RESTAURANT INC,MEXICO LINDO        E/S/C #431,459,2 AVENUE,,NEW YORK,NY,10010,2126793665
SIDEWALK CAFE,782318,Unenclosed,43,"CAVALLACCI, FABRIZIO",CAFE REGGIO,119,MACDOUGAL STREET,119-123 MACDOUGAL ST,NEW YORK,NY,10012,2124759557
SIDEWALK CAFE,786740,Unenclosed,121,CORNELIA STREET CAFE INC,CORNELIA STREET CAFE  S/C #480,29,CORNELIA STREET,,NEW YORK,NY,10014,2129899319
SIDEWALK CAFE,787968,Unenclosed,144,A.C.A. 110 MULBERRY INC.,LA BELLA FERRARA COFFEE SHOP,110,MULBERRY STREET,,NEW YORK,NY,10013,2129661488
SIDEWALK CAFE,789922,Enclosed,420,345 COURT ST CORP,MARCO POLO REST     E/S/C #508,345,COURT STREET,,BROOKLYN,NY,11231,7188525015
SIDEWALK CAFE,804523,Unenclosed,535,TWO & EIGHT GOURMET LTD.,DALLAS BBQ,132,SECOND AVENUE,,MANHATTAN,NY,10003,2125292563
SIDEWALK CAFE,804849,Enclosed,375,THE BORDON AVE REST. INC,WATERFRONT CRABHOUSEE/S/C #530,2-03,BORDEN AVENUE,,LIC,NY,11101,7187294862
SIDEWALK CAFE,805433,Unenclosed,226,TORTILLA FLATS INC,,767,WASHINGTON STREET,,NEW YORK,NY,10014,2122431053
SIDEWALK CAFE,806050,Unenclosed,283,316 RESTAURANT CORP,PAPPARDELLA,316,COLUMBUS AVENUE,,NEW YORK,NY,10023,2127247073
SIDEWALK CAFE,807555,Unenclosed,46,DYNAMIC MUSIC CORP,,117,MACDOUGAL STREET,,NEW YORK,NY,10012,2122547533
SIDEWALK CAFE,811193,Unenclosed,63,MEZZALUNA ASSOCIATES,,1295,3 AVENUE,,NEW YORK,NY,10021,2125359600
SIDEWALK CAFE,811344,Unenclosed,251,SEVEN A CAFE INC,,109,AVENUE A,,NY,NY,10009,2126736583
SIDEWALK CAFE,812902,Unenclosed,453,RE SPEC CORP,JACKSON HOLE        S/C #594,517,COLUMBUS AVENUE,,NEW YORK,NY,10024,2123625177
SIDEWALK CAFE,814506,Unenclosed,356,CROISSANT CONSORTIUM LIMITED,THE HUNGARIAN PASTRY SHOP,1030,AMSTERDAM AVENUE,,NEW YORK,NY,10025,2128664230
SIDEWALK CAFE,819452,Unenclosed,252,FRIEND OF A FARMER CORP,,77,IRVING PLACE,,NEW YORK,NY,10003,2124772188
SIDEWALK CAFE,832521,Enclosed,307,J N P K INC,ARMONDO'S RESTAURANTE/S/C #672,74-27,37 AVENUE,,JACKSON HEIGHTS,NY,11372,7188980113
SIDEWALK CAFE,832737,Unenclosed,175,NILO INC.& VIOLA CONSULTING LLC,MEZZOGIORNO ASSOC.,195,SPRING STREET,,NEW YORK,NY,10012,9146326036
SIDEWALK CAFE,832749,Enclosed,191,VRISA RESTAURANT INC,MORNING STAR REST   E/SC 674,401,WEST   57 STREET,A.K.A. 879  9TH AVENUE,MANHATTAN,NY,10019,2122461593
SIDEWALK CAFE,835262,Unenclosed,84,"TARO REST, INC",DUE,1396,THIRD AVENUE,,NEW YORK,NY,10075,2122497070
SIDEWALK CAFE,838821,Unenclosed,35,LA TRAVIATA CORP,LA TRAVIATA RESTAURANT,139,MONTAGUE STREET,,BROOKLYN,NY,11201,7188584100
SIDEWALK CAFE,851080,Unenclosed,180,"THE FUTABA CORPORATION, INC.",CHOSHI JAPANESE RESTAURANT,77,IRVING PLACE,STORE #1 AND #2,NEW YORK,NY,10003,2124201419
SIDEWALK CAFE,851262,Unenclosed,264,NEW BELLA LUNA INC,BELLA LUNA,584,COLUMBUS AVENUE,,NEW YORK,NY,10024,2128772267
SIDEWALK CAFE,851667,Enclosed,395,TOTORE PIZZERIA & RESTUARANT INC.,TOTORE PIZZERIA & RESTUARANT INC.,36-20,DITMARS BOULEVARD,,ASTORIA,NY,11105,7189325924
SIDEWALK CAFE,852766,Enclosed,142,LAMARCA INC,LAMARCA CHEESE SHOP,161,EAST   22 STREET,,NEW YORK,NY,10010,2126737920
SIDEWALK CAFE,853927,Unenclosed,443,THREE BEANS INC,BENNY'S BURRITOS,93,AVENUE A,,NEW YORK,NY,10009,2122342054
SIDEWALK CAFE,855696,Unenclosed,175,FEENJON CORP,,103-105,MACDOUGAL STREET,,NEW YORK,NY,10012,2126746968
SIDEWALK CAFE,858542,Unenclosed,116,AREO RESTAURANT CORP,,8420,3 AVENUE,8424 3 AVE,BROOKLYN,NY,11209,7182380079
SIDEWALK CAFE,882869,Unenclosed,98,LIRA OF NEW YORK INC,LUKE'S BAR & GRILL,1394,3 AVENUE,,NEW YORK,NY,10075,2122497070
SIDEWALK CAFE,883054,Unenclosed,357,CABRINI PARTNERS INC,CORNER CAFE & BAKERY,3552,JOHNSON AVENUE,,BRONX,NY,10463,7186012861
SIDEWALK CAFE,883095,Unenclosed,302,83RD AMSTERDAM RESTAURANT CORP,HI LIFE BAR & GRILL,477,AMSTERDAM AVENUE,,NEW YORK,NY,10024,2127877199
SIDEWALK CAFE,884882,Unenclosed,145,POMODORO RESTAURANT & PIZZERIA INC,,51,SPRING STREET,,NEW YORK,NY,10012,2129669229
SIDEWALK CAFE,885830,Unenclosed,390,KEM REST INC,DON GIOVANNI,214,10 AVENUE,,MANHATTAN,NY,10011,2122429054
SIDEWALK CAFE,885853,Enclosed,226,JAPONICA U S A INC,JAPONICA,100,UNIVERSITY PLACE,,MANHATTAN,NY,10003,2122437752
SIDEWALK CAFE,885879,Unenclosed,160,K.I.D. RESTAURANT CORP.,MANATUS RESTAURANT,340,BLEECKER STREET,,NEW YORK,NY,10014,2129897042
SIDEWALK CAFE,885881,Enclosed,212,83/AMSTERDAM RESTAURANT CORP,HI-LIFE RESTAURANT,477,AMSTERDAM AVENUE,,NEW YORK,NY,10024,2127877199
SIDEWALK CAFE,890521,Unenclosed,253,200 EAST 81ST RESTAURANT CORP.,,1431,THIRD AVENUE,A/K/A 200 EAST 81 STREET,NEW YORK,NY,10028,2126500850
SIDEWALK CAFE,890546,Unenclosed,219,FLORIOS ENTERPRISES INC,,192,GRAND STREET,,NEW YORK,NY,10013,2122267610
SIDEWALK CAFE,890575,Unenclosed,351,WILD ROSE MANAGEMENT INC,,2756,BROADWAY,,MANHATTAN,NY,10025,2122224453
SIDEWALK CAFE,890588,Unenclosed,218,DOJO RESTAURANT INC,DOJO WEST,14,WEST    4 STREET,,NEW YORK,NY,10012,2126742516
SIDEWALK CAFE,895505,Unenclosed,255,BARJER CORP,FIREHOUSE RESTAURANT,522,COLUMBUS AVENUE,,NY,NY,10024,2127873473
SIDEWALK CAFE,895577,Enclosed,86,ANGELO VIVOLO RESTAURANT ASSOC INC,VIVOLO,140,EAST   74 STREET,,NEW YORK,NY,10021,2123080220
SIDEWALK CAFE,895586,Enclosed,265,M B R P REST INC,THE STUMBLE INN,1454,2 AVENUE,,NEW YORK,NY,10021,2126500561
SIDEWALK CAFE,895599,Unenclosed,260,151 SECOND AVE. REST. INC.,RYAN'S IRISH PUB,151,2 AVENUE,,NEW YORK,NY,10003,2127809866
SIDEWALK CAFE,895613,Unenclosed,297,COASTAL AT LINCOLN INC,JOSEPHINA,1900,BROADWAY,,NEW YORK,NY,10023,2127691212
SIDEWALK CAFE,895625,Enclosed,411,MAFRA RESTAURANT CORP,IL VIOLINO,180,COLUMBUS AVENUE,,MANHATTAN,NY,10023,2128732500
SIDEWALK CAFE,895637,Unenclosed,328,BURRITO JUNCTION INC.,,241,COLUMBUS AVENUE,,MANHATTAN,NY,10023,2125809494
SIDEWALK CAFE,895644,Unenclosed,231,FELLOW TRAVELERS LTD,THREE OF CUPS,83,1 AVENUE,,NEW YORK,NY,10003,2123880059
SIDEWALK CAFE,907202,Enclosed,,EMEL SOAN CORP,ATHENS CAFE,32-07,30 AVENUE,,QUEENS,NY,11102,7186262164
SIDEWALK CAFE,907203,Unenclosed,157,FRENCH ROAST INC,,78,WEST   11 STREET,A/K/A 456 6 AVENUE,MANHATTAN,NY,10011,2125057570
SIDEWALK CAFE,907217,Enclosed,381,KHYBER PASS CORP,BAMIYAN RESTAURANT,358,THIRD AVENUE,,NEW YORK,NY,10016,2124813232
SIDEWALK CAFE,907977,Unenclosed,252,MESTOLA CAFFE CORP.,VINO,1268,2 AVENUE,,NEW YORK,NY,10065,2127445370
SIDEWALK CAFE,908218,Unenclosed,145,TRUMLIN REST.CORP.,DIVINO RISTORANTE,1556,2 AVENUE,,NEW YORK,NY,10028,2128611096
SIDEWALK CAFE,916146,Enclosed,228,HUSSIEN ENVIRONMENT INC.,CLEOPATRAS NEEDLE.,2483,BROADWAY,,NEW YORK,NY,10025,2127696969
SIDEWALK CAFE,916981,Enclosed,720,33-01 BROADWAY CORP.,TIERRAS COLOMBIANAS II,33-01,BROADWAY,,ASTORIA,NY,11106,7189563012
SIDEWALK CAFE,917301,Unenclosed,160,BROADWAY 76 LTD,NIKO'S MEDITERREAN GRILL AND BISTRO,2161,BROADWAY,,NEW YORK,NY,10024,2128737000
SIDEWALK CAFE,917302,Enclosed,308,BROADWAY 76 LTD,NIKO'S MEDITERREAN GRILL AND BISTRO,2161,BROADWAY,,NEW YORK,NY,10024,2128737000
SIDEWALK CAFE,917885,Unenclosed,277,"BLEECKER TRATTORIA, INC.",,232,BLEECKER STREET,,NEW YORK,NY,10014,2122556752
SIDEWALK CAFE,918358,Unenclosed,297,RESTAURANT 597 INC.,BUS STOP,597,HUDSON STREET,,NEW YORK,NY,10014,2122061100
SIDEWALK CAFE,918521,Unenclosed,106,CABANA-70 ASSOCIATES L.P.,CABANA RESTAURANT AND BAR,107-10,70 ROAD,,QUEENS,NY,11375,2125131988
SIDEWALK CAFE,919619,Unenclosed,89,ZESTFUL MANAGEMENT CORP.,BAR 6,502,AVENUE OF THE AMERICAS,SIXTH AVENUE,NEW YORK,NY,10011,2126911363
SIDEWALK CAFE,919907,Unenclosed,210,"HEARTLAND BREWERY, INC",HEARTLAND BREWERY,35,UNION SQUARE WEST,,NEW YORK,NY,10003,2126453400
SIDEWALK CAFE,919917,Unenclosed,206,"COWGIRL, INC",,519,HUDSON STREET,,NEW YORK,NY,10014,2126331133
SIDEWALK CAFE,920112,Unenclosed,186,"BARFLY, INC",BARFLY,244,THIRD AVENUE,,NEW YORK,NY,10010,2124739660
SIDEWALK CAFE,920314,Enclosed,159,LEKKAS RESTAURANT CORPORATION,,322,SEVENTH AVENUE,,NEW YORK,NY,10001,2122390760
SIDEWALK CAFE,920440,Unenclosed,125,JO-RACH INC,THE CAFFE PALERMO,148,MULBERRY STREET,,NY,NY,10013,2124314205
SIDEWALK CAFE,920629,Unenclosed,84,"172 BLEECKER STREET RESTAURANT,INC",CAFE ESPANOL,172,BLEECKER STREET,,NEW YORK,NY,10012,2125050657
SIDEWALK CAFE,920717,Unenclosed,371,THE ODEON INC,,145,WEST BROADWAY,,NEW YORK,NY,10013,2122330507
SIDEWALK CAFE,920983,Unenclosed,275,"RESTAURANT VENTURES OF NY,INC.",,200,SPRING STREET,,NYC,NY,10012,2124311212
SIDEWALK CAFE,922650,Unenclosed,718,ZONOR REST CORP.,RIVIERA CAFE,225,WEST    4 STREET,,NEW YORK,NY,10014,2129293250
SIDEWALK CAFE,924263,Enclosed,439,STARBUCKS CORPORATION,STARBUCKS COFFEE CO. #818,1559,2 AVENUE,,NEW YORK,NY,10028,2063184048
SIDEWALK CAFE,924582,Enclosed,,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY,454,LAFAYETTE STREET,STORE #825,NEW YORK,NY,10003,2063184048
SIDEWALK CAFE,924708,Unenclosed,68,BLL RESTAURANT CORP.,PORTO BELLO RESTAURANT,208,THOMPSON STREET,,NEW YORK,NY,10012,2124737794
SIDEWALK CAFE,924875,Enclosed,516,449 RESTAURANT INC.,MOONSTRUCK DINER,449,THIRD AVENUE,,NEW YORK,NY,10016,2122131100
SIDEWALK CAFE,928548,Enclosed,418,184 3RD AVENUE RESTAURANT CORP.,GRAMERCY CAFE,184,3 AVENUE,,NEW YORK,NY,10003,7185672990
SIDEWALK CAFE,928680,Unenclosed,228,"300 E. 5TH ST. REST., INC.",MARYANN'S D.F.,300,EAST    5 STREET,,NEW YORK,NY,10003,2124755939
SIDEWALK CAFE,929109,Unenclosed,280,"GILLI, INC.",GILLI REST,417,AMSTERDAM AVENUE,,NEW YORK,NY,10024,2123621180
SIDEWALK CAFE,930600,Unenclosed,180,LUMI CORPORATION,,963,LEXINGTON AVENUE,,NEW YORK,NY,10021,9174285668
SIDEWALK CAFE,931051,Unenclosed,163,"M.E.G.RESTAURANT ENTERPRISES,LTD.",NOVITA,102,EAST   22 STREET,,NEW YORK,NY,10010,2126772222
SIDEWALK CAFE,931822,Unenclosed,397,NOHO STAR INC.,THE NOHO STAR,330,LAFAYETTE STREET,,NEW YORK,NY,10012,2129250070
SIDEWALK CAFE,933853,Unenclosed,386,VESELKA ENTERPRISES LTD,,144,2 AVENUE,,NEW YORK,NY,10003,2122289682
SIDEWALK CAFE,935481,Unenclosed,180,MICHAEL KING INC.,,1361,1 AVENUE,GR.FL,NEW YORK,NY,10021,2127373664
SIDEWALK CAFE,936261,Unenclosed,272,"SEVENTH AVENUE TOMATO,INC.",RESTIVO RISTORANTE,209,7 AVENUE,,NEW YORK,NY,10011,2123664133
SIDEWALK CAFE,940252,Unenclosed,264,"CARMINES BROADWAY FEAST,INC.",CARMINE'S,2450,BROADWAY,,NEW YORK,NY,10024,2123622200
SIDEWALK CAFE,941701,Unenclosed,408,ANDIKIANA CORP.,SILVER SPURS EATERY,490,LA GUARDIA PLACE,,NEW YORK,NY,10012,2122282333
SIDEWALK CAFE,943587,Unenclosed,85,R&A EAST 16TH ASSOCIATES,CHAT 'N CHEW,10,EAST   16 STREET,,NEW YORK,NY,10003,2126611313
SIDEWALK CAFE,945762,Unenclosed,96,136 WEST BROADWAY INC.,EDWARD'S,136,WEST BROADWAY,,NEW YORK,NY,10013,2122336436
SIDEWALK CAFE,949447,Unenclosed,113,164 MULBERRY ST. CORP,DA NICO RESTAURANT,164,MULBERRY STREET,,NEW YORK,NY,10013,2123431212
SIDEWALK CAFE,949696,Enclosed,414,"THREE DECKER RESTAURANT,LTD",THREE DECKER RESTAURANT,1746,2 AVENUE,,NEW YORK,NY,10128,2122899936
SIDEWALK CAFE,950183,Unenclosed,193,"ME'KONG DELTA, INC.",REPUBLIC RESTAURANT,37,UNION SQUARE WEST,,NEW YORK,NY,10003,2126277172
SIDEWALK CAFE,950945,Enclosed,870,162-54 CORP,CAROSELLO CAFE,162-54,CROSSBAY BOULEVARD,,HOWARD BEACH,NY,11414,7188435055
SIDEWALK CAFE,952606,Unenclosed,113,1490 REST. INC.,WATSON'S,1490,SECOND AVENUE,,NEW YORK,NY,10075,2126764817
SIDEWALK CAFE,953473,Unenclosed,558,"359 COLUMBUS AVENUE, LLC",ISABELLA'S,359,COLUMBUS AVENUE,,NEW YORK,NY,10024,2127242100
SIDEWALK CAFE,953744,Unenclosed,180,442 AMSTERDAM RESTAURANT CORP.,GIN MILL,442,AMSTERDAM AVENUE,,NEW YORK,NY,10024,2125809080
SIDEWALK CAFE,954269,Unenclosed,237,JUDEX ENTERPRISES INC.,PANGEA,178,2 AVENUE,,NEW YORK,NY,10003,2129950900
SIDEWALK CAFE,954466,Unenclosed,175,1291 PUB INC.,,1291,THIRD AVENUE,,NEW YORK,NY,10021,2127440585
SIDEWALK CAFE,954963,Unenclosed,83,"BLOCKHEAD'S BURRITOS, INC.",BLOCKHEADS,499,3 AVENUE,,NEW YORK,NY,10016,2122133332
SIDEWALK CAFE,955462,Enclosed,420,MEXICALI ENTERPRISES LTD,RODEO BAR AND GRILL,375,3 AVENUE,,NEW YORK,NY,10016,2126836500
SIDEWALK CAFE,955674,Unenclosed,212,MBRP REST.INC.,THE STUMBLE INN,1454,2 AVENUE,,NEW YORK,NY,10021,2127379391
SIDEWALK CAFE,955758,Unenclosed,234,"KIMAN COFFEE SHOP,INC.",BIG NICK'S BURGER JOINT & PIZZA JOINT,2173-75,BROADWAY,,NEW YORK,NY,10024,2125131988
SIDEWALK CAFE,955847,Unenclosed,379,"MSD ENTERPRISES,INC",,118,SECOND AVENUE,,NEW YORK,NY,10003,2122530425
SIDEWALK CAFE,955853,Unenclosed,200,"MIDWEST TOMATO,INC",PUTTANESCA,859,9 AVENUE,,NEW YORK,NY,10019,2125814177
SIDEWALK CAFE,956923,Unenclosed,380,CAFFE SILVESTRI INC.,CAFFE NAPOLI,191,HESTER STREET,A/K/A 130 MULBERRY STREET,NEW YORK,NY,10013,2122268705
SIDEWALK CAFE,957079,Unenclosed,360,TWO BACALHAUS INC,PAO,322,SPRING STREET,,NEW YORK,NY,10013,2123345464
SIDEWALK CAFE,957290,Unenclosed,185,"J & D OPERATORS,LLC",PROHIBITION,503,COLUMBUS AVENUE,,NEW YORK,NY,10024,2125793100
SIDEWALK CAFE,958014,Unenclosed,203,SETA RESTAURANT CORP.,,686,NINTH AVENUE,,NEW YORK,NY,10036,2122456060
SIDEWALK CAFE,959237,Unenclosed,289,"MOHECO,INC.",,32-90,36 STREET,,QUEENS,NY,11106,7182045273
SIDEWALK CAFE,960499,Unenclosed,356,"A.B.C. HOME FURNISHINGS, INC.",THE PIPA,38,EAST   19 STREET,,NEW YORK,NY,10003,2124733000
SIDEWALK CAFE,960517,Unenclosed,61,NERA CORP.,,145,AVENUE A,,NEW YORK,NY,10009,2126737231
SIDEWALK CAFE,964932,Unenclosed,134,ANGELO OF MULBERRY STREET INC.,,146,MULBERRY STREET,,NY,NY,10013,2129661277
SIDEWALK CAFE,966602,Enclosed,227,"BELLA CUCINA, INC",,1293,LEXINGTON AVENUE,,NEW YORK,NY,10128,2122899004
SIDEWALK CAFE,968091,Unenclosed,108,"ERJO COMPANY, LLC",MOTTSU,285,MOTT STREET,,NEW YORK,NY,10012,2123438017
SIDEWALK CAFE,970343,Enclosed,,C.S.L.L. REST. CORP,EJ'S LUNCHEONETTE,1271,THIRD AVENUE,,NEW YORK,NY,10021,2124720600
SIDEWALK CAFE,970546,Enclosed,176,R ANGEL INC,MCDONALD'S,57-25,ROOSEVELT AVENUE,,WOODSIDE,NY,11377,6316984788
SIDEWALK CAFE,974443,Enclosed,346,SAC'S PIZZA PLACE INC.,SAC'S PLACE,25-41,BROADWAY,,ASTORIA,NY,11106,7182045002
SIDEWALK CAFE,976266,Unenclosed,290,"CAFE FOCACCIA, INC.",,1166,1 AVENUE,,NEW YORK,NY,10065,2126830371
SIDEWALK CAFE,976336,Enclosed,185,G.K. RESTAURANT & BAGELS CORP.,BAGEL BOB'S ON YORK,1638,YORK AVENUE,,NEW YORK,NY,10028,2125353838
SIDEWALK CAFE,976475,Enclosed,148,VIAND RESTAURANT INC,,300,EAST   86 STREET,,NEW YORK,NY,10028,2128799425
SIDEWALK CAFE,977278,Unenclosed,166,ROMI BAKERY INC.,GIAN & PIERO BAKERY,44-17,30 AVENUE,,QUEENS,NY,11103,7182748959
SIDEWALK CAFE,978206,Enclosed,366,SIBECA CORPORATION,POLLOS MARIO,40-19,BROADWAY,,ASTORIA,NY,11103,7189322424
SIDEWALK CAFE,978960,Unenclosed,214,ST. JAMES ASSOCIATES LP,SMITH & WOLLENSKY,201,EAST   49 STREET,,NEW YORK,NY,10017,2127531530
SIDEWALK CAFE,978961,Enclosed,334,"ST. JAMES ASSOCIATES, LP",SMITH & WOLLENSKY,201,EAST   49 STREET,,NEW YORK,NY,10017,2127531530
SIDEWALK CAFE,979320,Unenclosed,370,"1337 THIRD AVENUE, LLC",ATLANTIC GRILL,1337,3 AVENUE,,NEW YORK,NY,10075,2129889200
SIDEWALK CAFE,979463,Unenclosed,169,DE PALINO RESTAURANT CORP.,CITY CRAB & SEAFOOD CO.,235,PARK AVENUE SOUTH,,NEW YORK,NY,10003,2125293800
SIDEWALK CAFE,979768,Unenclosed,140,MANEKEN CORP.,PETITE ABEILLE,466,HUDSON STREET,,MANHATTAN,NY,10014,2127271505
SIDEWALK CAFE,980100,Unenclosed,382,RADIANTE LLC,CITY HALL RESTAURANT,131,DUANE STREET,,MANHATTAN,NY,10013,2124069038
SIDEWALK CAFE,980182,Unenclosed,148,SUNFLOWER RESTAURANT ASSOC. INC,FLOR DE SOL,361,GREENWICH STREET,,NEW YORK,NY,10013,2123661640
SIDEWALK CAFE,981250,Unenclosed,139,BSWR CORP.,,423,AMSTERDAM AVENUE,,NEW YORK,NY,10024,2124966280
SIDEWALK CAFE,982077,Unenclosed,168,MARE MARE INC.,BISTRO CASSIS,225,COLUMBUS AVENUE,,NEW YORK,NY,10023,6313671156
SIDEWALK CAFE,984023,Enclosed,180,"PLAZA MEXICO, INC.",MAMA MEXICO,2672,BROADWAY,,NEW YORK,NY,10025,2128642323
SIDEWALK CAFE,984345,Enclosed,328,"HELEDONA, INC",,200,WEST   60 STREET,,NEW YORK,NY,10023,2125015259
SIDEWALK CAFE,984692,Unenclosed,306,"PYRAMID RESTAURANT GROUP, INC",JOSIE'S,565,3 AVENUE,,NEW YORK,NY,10016,2124901558
SIDEWALK CAFE,987074,Unenclosed,202,A & Z RESTAURANT CORP.,WINEBAR,65,2 AVENUE,NORTH STORE,NEW YORK,NY,10003,2127771608
SIDEWALK CAFE,987452,Enclosed,167,UKATOSH CORP,,36-02,31 STREET,"A/K/A 31-02, 36 STREET",ASTORIA,NY,11106,7184332191
SIDEWALK CAFE,990613,Unenclosed,172,NEW STORE RESTAURANT CORP,,447,AMSTERDAM AVENUE,,NEW YORK,NY,10024,2128733444
SIDEWALK CAFE,997686,Unenclosed,95,TRE-GIOVANI INC,,548,LA GUARDIA PLACE,,NEW YORK,NY,10012,2124757420
SIDEWALK CAFE,999317,Enclosed,188,PEEGEES ASSOCIATES LLC,TOTONNO'S PIZZERIA NAPOLITANO,1544,2 AVENUE,,NY,NY,10028,2123272800
SIDEWALK CAFE,999448,Unenclosed,306,"DELUXE ON BROADWAY, INC.",,2896,BROADWAY,,NEW YORK,NY,10025,9172082174
SIDEWALK CAFE,1000225,Unenclosed,470,"119 7TH AVEUNE CAFETERIA, LLC",CAFETERIA,119,7 AVENUE,,NEW YORK,NY,10011,2124141717
SIDEWALK CAFE,1000314,Unenclosed,480,"BROADWAY DESSERTS, LTD",,2340,BROADWAY,,NEW YORK,NY,10024,2125131988
SIDEWALK CAFE,1000917,Unenclosed,109,BUCKWHEAT AND ALFALFA INC,THE ROCKING HORSE MEXICAN CAFE,182,EIGHTH AVENUE,,NEW YORK,NY,10011,2124639511
SIDEWALK CAFE,1001063,Unenclosed,741,112 FRENCH INC,LE MONDE,2883,BROADWAY,,NEW YORK,NY,10025,2125313939
SIDEWALK CAFE,1001562,Enclosed,236,KARAVAS FOOD LTD,KARAVAS PLACE TAVERN,162,WEST    4 STREET,,NY,NY,10014,2122438007
SIDEWALK CAFE,1001940,Unenclosed,142,"BREAD OF LIFE, LLC",,1712,2 AVENUE,,NEW YORK,NY,10128,2127224242
SIDEWALK CAFE,1002419,Unenclosed,84,1483 FIRST AVENUE RESTAURANT INC.,,1483,FIRST AVENUE,,NEW YORK,NY,10075,2129888877
SIDEWALK CAFE,1002936,Unenclosed,92,SAWOY INC,REGIONAL THAI SAWOY,1479,FIRST AVENUE,,NEW YORK,NY,10075,2125851942
SIDEWALK CAFE,1003195,Unenclosed,119,RIOMAR CORP,KANA,324,SPRING STREET,,SOHO,NY,10013,2123438180
SIDEWALK CAFE,1003313,Unenclosed,169,J.P.G. LLC,PHILIP MARIE,569,HUDSON STREET,,NEW YORK,NY,10014,2128673820
SIDEWALK CAFE,1004472,Unenclosed,199,TAKATSUKI CORPORATION,,188-190,2 AVENUE,,NEW YORK,NY,10003,2122606303
SIDEWALK CAFE,1006183,Unenclosed,297,520 COLUMBUS AVE LTD,NONNA RESTAURANT,520,COLUMBUS AVENUE,,NEW YORK,NY,10024,2125793194
